Database,Project ID,PMID,Title,Total Samples,preCancer,Case Cancer Untreated,Case Cancer Treated,Control Healthy,Healty trraeted,Patients / donors,Tissue Cell Type Detailed,Sample Type,Tissue,Organ,Tumor Type,Cell Line Name,Cell Line Cancer;Normal,Cell Line Organ,Tumor type for cell lines,Tissue for cell lines,Disease,Disease Subtype,Experimental Design,Short Description,Platform MS (Unified),TMT Label (Unified),Proteins Quantified,TMT Channels Used,TMT Channels Comparison,TMT Additional Channels,Samples Original N,Samples Used N,Normalization Strategy,Z-Score Level,Z-Score Scope,FASTA (Unified),FASTA Year,Modifications,FDR (Unified %),Result Files,URL,Main_Finding,Data_Caveats,Quantification_Format,Столбец 46,Столбец 47,Column 48,Column 49
PDC,PDC000153,40749670,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,215,0,113,0,102,0,115,Primary LUAD tumor tissues and normal adjacent tissues (NAT); partially paired cohort,Tissue,Lung,Lung,Lung Adenocarcinoma,,,,,,Lung adenocarcinoma,Non-small cell lung cancer adenocarcinoma,"TMT10-based proteome, phosphoproteome, acetylproteome, and ubiquitylome profiling of LUAD tumors and NAT controls with pooled CompRef channel, integrated with WXS, RNA-seq, and DNA methylation","Large-scale CPTAC LUAD proteogenomic study integrating TMT10 LC-MS/MS proteomics with genomic and epigenomic profiling to characterize molecular heterogeneity, carcinogen exposure signatures, KRAS/EGFR-associated pathways, chromosomal instability, PTM remodeling, and immune signaling differences across diverse populations",Orbitrap Q Exactive HF-X,TMT 10-plex,111028,10,126–130C = tumor/NAT samples,131 = CompRef (pooled normal lung),115,115,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000153.xlsx,https://pdc.cancer.gov/pdc/study/PDC000153,"Integrated proteogenomic analysis identified lung adenocarcinoma molecular subtypes associated with KRAS and epidermal growth factor receptor signaling, carcinogen exposure signatures, chromosomal instability, post-translational modification remodeling, immune signaling alterations, and early-stage tumors with advanced molecular features.","PDC000153 contains only the Clinical Proteomic Tumor Analysis Consortium lung adenocarcinoma discovery proteome cohort and not the full integrated multi-ethnic 2025 study cohort; normal adjacent tissue samples were available only for a subset of tumors, and bulk tissue tandem mass tag profiling may obscure intratumoral heterogeneity and cell-type-specific proteomic signals.",TMT reporter ion relative quantification,,,,
PDC,PDC000180,33242424,Integrated Proteogenomic Characterization across Major Histological Types of Pediatric Brain Cancer,230,0,230,0,0,0,227,"Pediatric brain tumor tissue from multiple histological subtypes including low-grade glioma (LGG), ependymoma (EP), high-grade glioma (HGG), medulloblastoma (MB), ganglioglioma (GG), craniopharyngioma (CP), and atypical teratoid/rhabdoid tumor (ATRT)",Tissue,Brain,Brain,"Pediatric brain tumors including low-grade glioma, ependymoma, high-grade glioma, medulloblastoma, ganglioglioma, craniopharyngioma, and atypical teratoid/rhabdoid tumor",,,,,,Pediatric/AYA Brain Tumors,Low-grade glioma (LGG); ependymoma (EP); high-grade glioma (HGG); medulloblastoma (MB); ganglioglioma (GG); craniopharyngioma (CP); atypical teratoid/rhabdoid tumor (ATRT),TMT11-based SPS-MS3 proteome and phosphoproteome profiling of pediatric brain tumors with integrated whole-genome sequencing (WGS) and RNA-seq analysis,"Integrated pediatric brain tumor proteogenomic study combining WGS, RNA-seq, proteome and phosphoproteome profiling across seven major histological tumor subtypes to identify shared signaling pathways, immune microenvironment differences, and therapeutically relevant molecular features.",Orbitrap Fusion Lumos,TMT 11-plex,7153,11,126–131N = tumor samples (10 per plex),131C = pooled reference,207,207,Median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M)",1%,result_PDC000180.xlsx,https://pdc.cancer.gov/pdc/study/PDC000180,"Integrated Proteogenomic Characterization across Major 
 Histological Types of Pediatric Brain Cancer
 A full list of authors and affiliations appears at the end of the article.
 SUMMARY
 We report a comprehensive proteogenomic analysis, including whole genome sequencing, RNA 
 sequencing, proteomic and","No healthy pediatric brain controls; cohort included initial, recurrent, progressive, and secondary tumors; uneven subgroup sizes across histological entities; several rare tumor types had limited sample numbers; relative TMT quantification rather than absolute protein abundance; retrospective multicenter cohort may introduce batch and preanalytical variability.",TMT reporter ion relative quantification,,,,
PDC,PDC000198,31585088,Integrated Proteogenomic Characterization of HBV-Related Hepatocellular Carcinoma,330,0,165,0,165,0,171,Primary hepatitis B virus-related hepatocellular carcinoma tumor tissues paired with adjacent histologically non-tumorous liver tissues from the same patients,Tissue,Liver tumor tissue; adjacent non-tumorous liver tissue,Liver,Hepatitis B virus-related hepatocellular carcinoma,,,,,,Hepatocellular carcinoma,Hepatitis B virus-related hepatocellular carcinoma,Tandem mass tag 11-plex proteome and phosphoproteome profiling with liquid chromatography-tandem mass spectrometry integrated with whole-exome sequencing and RNA sequencing using paired tumor and adjacent liver tissues,"First integrated proteogenomic characterization of hepatitis B virus-related hepatocellular carcinoma identifying proteomic subgroups associated with survival, metabolic reprogramming, microenvironment dysregulation, and CTNNB1-associated ALDOA phosphorylation signaling",Q Exactive HF,TMT 11-plex,10148,11,126–131N = tumor/normal samples (10 per plex),131C = pooled reference,171,171,Median norm; log2 ratio to pooled ref,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M)",1%,result_PDC000198.xlsx,https://pdc.cancer.gov/pdc/study/PDC000198,"First integrated proteogenomic characterization of hepatitis B virus-related hepatocellular carcinoma identified three proteomic subgroups associated with patient survival, liver-specific metabolic reprogramming, tumor microenvironment dysregulation, and proliferation; CTNNB1 mutation-associated ALDOA phosphorylation was shown to promote glycolysis and tumor cell proliferation.First integrated proteogenomic characterization of hepatitis B virus-related hepatocellular carcinoma identified three proteomic subgroups associated with patient survival, liver-specific metabolic reprogramming, tumor microenvironment dysregulation, and proliferation; CTNNB1 mutation-associated ALDOA phosphorylation was shown to promote glycolysis and tumor cell proliferation.","Adjacent non-tumorous liver tissues rather than healthy donor tissues were used as controls; only 159 paired tumor/non-tumor samples passed integrated multi-omics quality-control filtering; phosphoproteome data were deposited separately from the global proteome dataset; cohort consisted predominantly of hepatitis B virus-associated hepatocellular carcinoma patients, potentially limiting generalizability to non-hepatitis B virus hepatocellular carcinoma populations.",TMT reporter ion relative quantification,,,,
PDC,PDC000204,33577785,Proteogenomic and metabolomic characterization of human glioblastoma,110,0,100,0,10,0,110,Primary glioblastoma tumor tissue; normal brain tissue (GTEx),Tissue,Brain,Brain,Glioblastoma,,,,,,Glioblastoma multiforme (GBM),Untreated glioblastoma with and without isocitrate dehydrogenase 1 and 2 mutations.,"CPTAC glioblastoma discovery study using TMT11-based global proteome, phosphoproteome, and acetylome profiling of treatment-naïve primary GBM tissues and GTEx normal brain controls. Samples were analyzed by multidimensional LC-MS/MS with bRPLC fractionation and Orbitrap-based DDA acquisition. Integrated multi-omics analysis included whole-genome/exome sequencing, RNA-seq, single-nucleus RNA-seq, DNA methylation, lipidomics, and metabolomics to characterize signaling pathways, immune microenvironment, metabolic reprogramming, and subtype-specific molecular features in glioblastoma.","Comprehensive CPTAC proteogenomic and metabolomic characterization of human glioblastoma integrating proteome, phosphoproteome, acetylome, genomics, transcriptomics, epigenomics, lipidomics, and metabolomics from treatment-naïve GBM tumors and normal brain tissues. The study identified immune-associated and metabolic GBM subtypes, subtype-specific kinase signaling networks, lipid remodeling patterns, and proteome-level heterogeneity not fully explained by genomic alterations alone.",Orbitrap Fusion Lumos,TMT 11-plex,10976,11,126–131N = tumor samples (10 per plex),131C = CompRef (pooled normal brain),111,111,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M)",1%,result_PDC000204.xlsx,https://pdc.cancer.gov/pdc/study/PDC000204,"Integrated proteogenomic and metabolomic profiling identified molecular subtypes of glioblastoma associated with survival, immune microenvironment remodeling, metabolic reprogramming, and distinct signaling pathway activation patterns.","Normal brain controls were partially derived from Genotype-Tissue Expression Project datasets rather than fully matched adjacent tissues, introducing potential batch effects and differences in sample procurement, processing, and donor composition relative to glioblastoma specimens.",TMT reporter ion relative quantification,,,,
PDC,PDC000219,40749670,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,0,0,216,0,216,0,110,Primary lung adenocarcinoma tumor tissue and matched normal adjacent tissue,Tissue,Lung,Lung,Lung Adenocarcinoma,,,,,,Lung adenocarcinoma,Non-small cell lung cancer adenocarcinoma from Taiwanese patients,"Tandem mass tag 10-plex global proteome profiling with liquid chromatography tandem mass spectrometry, whole exome sequencing, and ribonucleic acid sequencing","Proteogenomic profiling of Taiwanese lung adenocarcinoma tumors and matched normal adjacent lung tissues using tandem mass tag 10-plex liquid chromatography tandem mass spectrometry integrated with genomic and transcriptomic analyses to characterize ethnicity-specific molecular subtypes, smoking-associated alterations, epidermal growth factor receptor signaling, and mutational processes associated with apolipoprotein B messenger ribonucleic acid editing catalytic polypeptide-like enzymes.",Q Exactive,TMT 10-plex,11207,10,126–130C = tumor/NAT samples,131 = pooled reference,110,110,Median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M)",1%,result_PDC000219.xlsx,https://pdc.cancer.gov/pdc/study/PDC000219,"Taiwanese lung adenocarcinoma demonstrated distinct proteogenomic subtypes associated with smoking exposure, epidermal growth factor receptor alterations, apolipoprotein B messenger ribonucleic acid editing catalytic polypeptide-like mutagenesis, immune remodeling, and metabolic pathway dysregulation linked to tumor progression and clinical outcome.",The dataset contains relative tandem mass tag reporter ion quantification with pooled reference normalization rather than absolute protein abundance values; several quality control pooled samples and non-lung adenocarcinoma annotations remain present in metadata tables; five low-quality or corrupted raw mass spectrometry files were removed and one replacement raw data file was added in study version 2.,TMT reporter ion relative quantification,,,,
PDC,PDC000221,33417831,Proteogenomic insights into the biology and treatment of HPV-negative head and neck squamous cell carcinoma,186,0,112,0,74,,124,Primary human papillomavirus-negative head and neck squamous cell carcinoma tumor tissue and matched normal (adjacent or not) squamous epithelium from oral cavity and larynx,Tissue,Head and neck squamous epithelium,Head and neck,Head and Neck Squamous Cell Carcinoma,,,,,,Head and Neck Squamous Cell Carcinoma,Human papillomavirus-negative head and neck squamous cell carcinoma,"Tandem mass tag 11-plex global proteome and phosphoproteome profiling of human papillomavirus-negative head and neck squamous cell carcinoma tumors and matched normal adjacent tissues integrated with whole-exome sequencing, whole-genome sequencing, ribonucleic acid sequencing, micro ribonucleic acid sequencing, and deoxyribonucleic acid methylation analysis","Integrated Clinical Proteomic Tumor Analysis Consortium proteogenomic study of human papillomavirus-negative head and neck squamous cell carcinoma identifying molecular subtypes, epidermal growth factor receptor signaling mechanisms, chromosome instability patterns, immune phenotypes, and potential therapeutic vulnerabilities using multi-omics profiling",Orbitrap Fusion Lumos,TMT 11-plex,~11000,11,126–131N = tumor/normal samples,131C = CompRef (pooled normal),124,124,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M)",1%,result_PDC000221.xlsx,https://pdc.cancer.gov/pdc/study/PDC000221,"Integrated proteogenomic analysis identified chromosome instability, Basal, and Immune molecular subtypes of human papillomavirus-negative head and neck squamous cell carcinoma associated with distinct epidermal growth factor receptor activation mechanisms, immune phenotypes, cell cycle regulation patterns, and subtype-specific therapeutic vulnerabilities including cyclin dependent kinase 4 and 6 inhibition, epidermal growth factor receptor-targeted therapy, and immunotherapy.",Cohort restricted to human papillomavirus-negative tumors; substantial molecular and anatomical heterogeneity between tumors; limited matched normal adjacent tissues after quality control filtering; tandem mass tag-based proteomics provides relative rather than absolute protein quantification; annotation tables contain duplicated sample entries and additional quality control samples.,TMT reporter ion relative quantification,,,,
PDC,PDC000234,34358469,A Proteogenomic Portrait of Lung Squamous Cell Carcinoma,212,0,110,0,102,0,115,Primary untreated lung squamous cell carcinoma tumor tissues and both matched (n = 99) and unmatched normal adjacent lung tissues.,Tissue,Lung,Lung,Lung Squamous Cell Carcinoma,,,,,,Lung squamous cell carcinoma,Squamous cell carcinoma of the lung belonging to the non-small cell lung cancer group,"Prospective Clinical Proteomic Tumor Analysis Consortium cohort with tandem mass tag 11-plex deep proteome profiling of primary untreated lung squamous cell carcinoma tumors and normal adjacent lung tissues, including 99 matched tumor–normal pairs, integrated with phosphoproteome, acetylproteome, ubiquitylome, whole-exome sequencing, whole-genome sequencing, ribonucleic acid sequencing, DNA methylation, imaging, and clinical annotation.","Large-scale Clinical Proteomic Tumor Analysis Consortium proteogenomic characterization of lung squamous cell carcinoma integrating tandem mass tag 11-plex liquid chromatography tandem mass spectrometry proteomics with genomic, transcriptomic, DNA methylation, and post-translational modification analyses to identify molecular subtypes, immune states, signaling pathways, metabolic remodeling, therapeutic vulnerabilities, and candidate biomarkers associated with lung squamous cell carcinoma progression and treatment response.",Orbitrap Q Exactive HF-X,TMT 11-plex,~11000,11,126–131N = tumor/NAT samples,131C = CompRef (pooled normal lung),115,115,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M)",1%,result_PDC000234.xlsx,https://pdc.cancer.gov/pdc/study/PDC000234,"Integrated proteogenomic analysis identified five molecular subtypes of lung squamous cell carcinoma, including an epithelial-to-mesenchymal transition-enriched subtype with PDGFRB and ROR2 signaling activation, NSD3 as a candidate driver within FGFR1-amplified tumors, survivin overexpression in TP63-low tumors, SOX2-associated chromatin vulnerabilities involving LSD1 and EZH2, heterogeneous RB1 phosphorylation linked to cyclin-dependent kinase 4 and 6 inhibitor response, and extensive immune and metabolic remodeling regulated through phosphorylation, acetylation, and ubiquitylation signaling networks.","The cohort included both matched and unmatched tumor and normal adjacent tissue samples, with fewer normal adjacent tissues than tumor samples, limiting fully paired tumor–normal comparisons across the complete dataset. Bulk tissue tandem mass tag proteomics may also obscure intratumoral heterogeneity and stromal contamination.",TMT reporter ion relative quantification,,,,
PDC,PDC000248,36550235,Proteogenomic landscape of human pancreatic ductal adenocarcinoma in an Asian population reveals tumor cell-enriched and immune-rich subtypes,153,0,153,0,0,0,153,Primary pancreatic ductal adenocarcinoma tumor tissue,Tissue,Pancreas,Pancreas,Pancreatic Ductal Adenocarcinoma,,,,,,Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma in an Asian patient cohort with tumor cell-enriched and immune-rich molecular subtypes,TMT10-based global proteome profiling of primary pancreatic ductal adenocarcinoma tumor tissues using two-dimensional liquid chromatography and Orbitrap mass spectrometry integrated with whole-exome sequencing and RNA sequencing,"Large-scale Asian pancreatic ductal adenocarcinoma proteogenomic study integrating TMT10 LC-MS/MS proteomics with genomic and transcriptomic profiling to define molecular subtypes, immune composition, and signaling pathway alterations",Orbitrap Q Exactive HF-X,TMT 10-plex,~9000,10,126–130C = tumor/normal samples,131 = pooled reference,154,154,Median norm; log2 ratio,Gene,Per study,UniProt,2018,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000248.xlsx,https://pdc.cancer.gov/pdc/study/PDC000248,"Integrated proteogenomic analysis identified tumor cell-enriched and immune-rich pancreatic ductal adenocarcinoma subtypes and revealed associations between genomic alterations, proteomic signaling pathways, and immune microenvironment composition linked to potential therapeutic vulnerabilities.",Proteome dataset contains only tumor tissues without matched healthy pancreatic controls in the PDC proteome cohort; TMT-based relative quantification may be affected by ratio compression and batch effects associated with pooled reference normalization.,TMT reporter ion relative quantification,,,,
PDC,PDC000270,34534465,Proteogenomic characterization of pancreatic ductal adenocarcinoma,244,0,153,0,91,0,166,Primary pancreatic ductal adenocarcinoma tumor tissue; normal adjacent pancreatic tissue; normal pancreatic duct tissue,Tissue,Pancreas,Pancreas,Pancreatic Ductal Adenocarcinoma,,,,,,Pancreatic ductal adenocarcinoma,Pancreatic ductal adenocarcinoma; pancreatic adenosquamous carcinoma,"TMT11-based proteome, phosphoproteome, and glycoproteome profiling of treatment-naive pancreatic tumors, adjacent normal pancreatic tissues, and normal pancreatic duct tissues integrated with whole-genome sequencing, whole-exome sequencing, RNA sequencing, microRNA sequencing, and DNA methylation analysis","CPTAC multi-omics proteogenomic characterization of pancreatic ductal adenocarcinoma identifying molecular subtypes, glycoprotein biomarkers, kinase signaling vulnerabilities, immune microenvironment states, and candidate therapeutic targets",Orbitrap Fusion Lumos,TMT 11-plex,~10000,11,126–131N = tumor/NAT samples,131C = CompRef (pooled NAT),166,166,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT1 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000270.xlsx,https://pdc.cancer.gov/pdc/study/PDC000270,"Integrated proteogenomic analysis identified PDAC molecular subtypes, glycoprotein biomarkers, kinase signaling vulnerabilities, immune-hot and immune-cold tumor microenvironment states, and candidate subtype-specific therapeutic targets","Low tumor purity, extensive stromal and acinar contamination, and strong tissue heterogeneity complicated PDAC proteome analysis. Additional bridge and reference tumor samples (KoreanReference and WU-PDA controls) were included for TMT inter-plex normalization, increasing technical aliquot counts beyond the biological cohort size.",TMT reporter ion relative quantification,,,,
PDC,PDC000295,29718670,Evaluation of NCI-7 Cell Line Panel as a Reference Material for Clinical Proteomics,9,0,9,0,0,0,7,"Pooled lysates from seven cancer cell lines (NCI-H23, RPMI-8226, T47D, A549, COLO205, NCI-H226, CCRF-CEM) used as a proteomic reference standard",Cell Lines,Lung; Breast; Colon; Peripheral blood,Lung; Breast; Colon; Blood,Lung adenocarcinoma; Breast ductal carcinoma; Colon adenocarcinoma; Acute lymphoblastic leukemia; Plasmacytoma/Myeloma; Mesothelioma,,,,,,Multiple cancer cell lines,Lung adenocarcinoma; Breast ductal carcinoma; Colon adenocarcinoma; Acute lymphoblastic leukemia; Plasmacytoma/Myeloma; Mesothelioma,"TMT10-based pooled cancer cell line reference proteome generated from seven NCI-60-derived cell lines for benchmarking proteomic reproducibility, sample preparation, digestion efficiency, TMT labeling accuracy, and LC-MS/MS performance","CPTAC reference proteomics study using pooled lysates from seven human cancer cell lines (NCI-7 panel) analyzed by TMT10 LC-MS/MS to establish a reproducible universal proteomic reference standard for quality control, benchmarking, and cross-study normalization in clinical proteomics workflows",Orbitrap Fusion Lumos,TMT 10-plex,~10000,10,126–130C = cell lines and mixes,131 = pooled reference,1 (panel),1,Median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000295.xlsx,https://pdc.cancer.gov/pdc/study/PDC000295,"The NCI-7 pooled cancer cell line panel demonstrated highly reproducible global proteome and phosphoproteome profiles and provided broad human proteome coverage, supporting its use as a universal CPTAC-compatible reference standard for benchmarking LC-MS/MS workflows, TMT quantification, sample preparation reproducibility, and interlaboratory quality control",Reference-standard study based on pooled cancer cell lines rather than clinical tissues; limited biological heterogeneity compared with patient-derived tumors; benchmarking-oriented design with extensive technical replication; phosphoproteome and proteome generated under controlled experimental conditions that may not fully reflect clinical sample complexity; partial dependence on historical CellMiner annotations and mixed database usage (RefSeq/UniProt),TMT reporter ion relative quantification,,,,
PDC,PDC000315,34171263,The AML Microenvironment Catalyzes a Step-wise Evolution to Gilteritinib Resistance,40,0,9,31,0,0,3,"FLT3-mutated acute myeloid leukemia cell lines MOLM14 and MV411 with parental state, early gilteritinib-resistant state under fibroblast growth factor 2 or FLT3 ligand stimulation, and late gilteritinib-resistant state",Cell line,Leukemia cell lines,Hematopoietic system,Acute myeloid leukemia,,,,,,Acute myeloid leukemia,FLT3-mutated acute myeloid leukemia with stepwise acquisition of resistance to gilteritinib mediated by bone marrow microenvironment signaling,"TMT11-based proteome and phosphoproteome profiling of FLT3-mutated acute myeloid leukemia cell lines MOLM14 and MV411 during stepwise development of resistance to gilteritinib. The dataset includes parental control states, early resistant states induced by fibroblast growth factor 2 or FLT3 ligand stimulation, and late resistant states with stable autonomous resistance.",Proteomic and phosphoproteomic characterization of early microenvironment-dependent and late autonomous resistance to gilteritinib in FLT3-mutated acute myeloid leukemia cell line models.,Orbitrap Fusion Lumos,TMT 11-plex,~8000,11,126–131N = cell line conditions/timepoints,131C = pooled reference,3,3,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000315.xlsx,https://pdc.cancer.gov/pdc/study/PDC000315,"Proteomic and phosphoproteomic profiling of MOLM14 and MV411 acute myeloid leukemia cell lines identified distinct molecular programs associated with parental, early gilteritinib-resistant, and late gilteritinib-resistant states, including altered signaling pathways, metabolic adaptation, and Aurora kinase B dependency in resistant cell populations.","The dataset is entirely based on acute myeloid leukemia cell line models and does not represent a clinical patient cohort. Samples correspond to experimentally induced parental, early resistant, and late resistant states in MOLM14 and MV411 leukemia cell lines under controlled in vitro conditions. Proteomic changes may therefore reflect cell culture adaptation and resistance modeling rather than in vivo tumor heterogeneity.",TMT reporter ion relative quantification,,,,
PDC,PDC000316,34171263,The AML Microenvironment Catalyzes a Step-wise Evolution to Gilteritinib Resistance,30,0,10,20,0,0,2,Cancer cell line: FLT3-mutated acute myeloid leukemia MOLM14 cell line under parental control conditions and resistance-associated states induced by fibroblast growth factor 2 or FLT3 ligand stimulation,Cell line,Leukemia cell lines,Hematopoietic system,Acute Myeloid Leukemia,,,,,,Acute Myeloid Leukemia,FLT3-mutated Acute Myeloid Leukemia with microenvironment-associated early resistance signaling induced by fibroblast growth factor 2 or FLT3 ligand,TMT11-based proteome profiling of the FLT3-mutated Acute Myeloid Leukemia MOLM14 cell line under parental control conditions and resistance-associated states induced by fibroblast growth factor 2 or FLT3 ligand stimulation. The dataset includes longitudinal resistance-associated cellular states analyzed across multiple TMT11 plexes and fractionated liquid chromatography–mass spectrometry measurements.,Proteomic characterization of parental and microenvironment-primed resistance-associated states in the FLT3-mutated Acute Myeloid Leukemia MOLM14 cell line.,Orbitrap Fusion Lumos,TMT 11-plex,~8000,11,126–131N = time points per plex,131C = pooled reference,2,2,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000316.xlsx,https://pdc.cancer.gov/pdc/study/PDC000316,"Proteome profiling of the FLT3-mutated Acute Myeloid Leukemia MOLM14 cell line identified proteomic remodeling associated with fibroblast growth factor 2-primed and FLT3 ligand-primed resistance-associated states, including altered protein expression patterns linked to early resistance adaptation.",The dataset contains only proteome measurements from experimentally induced MOLM14 leukemia cell line resistance-associated states under controlled in vitro conditions and does not represent independent clinical patient-derived tumor samples.,TMT reporter ion relative quantification,,,,
PDC,PDC000317,34171263,The AML Microenvironment Catalyzes a Step-wise Evolution to Gilteritinib Resistance,20,0,4,16,0,0,2,FLT3-mutated Acute Myeloid Leukemia MOLM14 cell line under parental control conditions and quizartinib resistance-associated states induced by fibroblast growth factor 2 or FLT3 ligand stimulation,Cell line,Leukemia cell lines,Hematopoietic system,Acute Myeloid Leukemia,,,,,,Acute Myeloid Leukemia,FLT3-mutated Acute Myeloid Leukemia with acquired resistance to quizartinib mediated by microenvironment-associated signaling,"TMT11-based proteome profiling of the FLT3-mutated Acute Myeloid Leukemia MOLM14 cell line under parental control conditions and quizartinib resistance-associated states induced by fibroblast growth factor 2 or FLT3 ligand stimulation, including late resistant leukemia cell populations analyzed by fractionated liquid chromatography–mass spectrometry across two TMT11 plexes.",Proteomic characterization of parental and quizartinib resistance-associated states in the FLT3-mutated Acute Myeloid Leukemia MOLM14 cell line.,Orbitrap Fusion Lumos,TMT 11-plex,~8000,11,126–131N = cell line conditions,131C = pooled reference,2,2,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000317.xlsx,https://pdc.cancer.gov/pdc/study/PDC000317,"Proteome profiling identified distinct protein expression changes associated with fibroblast growth factor 2-induced and FLT3 ligand-induced quizartinib resistance-associated states, as well as stable proteomic remodeling in late quizartinib-resistant MOLM14 Acute Myeloid Leukemia cell populations.",The dataset contains only experimentally induced MOLM14 Acute Myeloid Leukemia cell line resistance-associated states analyzed under controlled in vitro conditions and does not include independent patient-derived tumor samples or healthy controls. Multiple annotation rows correspond to duplicated analytical measurements rather than independent biological samples.,TMT reporter ion relative quantification,,,,
PDC,PDC000325,31988290,Microscaled proteogenomic methods for precision oncology,30,0,30,0,0,0,17,Core needle biopsy tumor samples from ERBB2-positive breast cancer patients collected before trastuzumab-based therapy,Tissue,Breast tumor biopsy,Breast,Breast invasive carcinoma (ERBB2-positive),,,,,,Breast invasive carcinoma,ERBB2-positive breast cancer treated with trastuzumab-based neoadjuvant therapy,"Microscaled proteogenomic profiling of pre-treatment and early on-treatment core needle biopsies from ERBB2-positive breast cancer patients using integrated proteome, phosphoproteome, whole-exome sequencing, and RNA-seq analysis",Pilot biopsy-scale proteogenomic study demonstrating deep molecular profiling of ERBB2-positive breast cancer core biopsies to evaluate early therapeutic response and candidate resistance mechanisms during trastuzumab-based therapy,Orbitrap Fusion Lumos,TMT 11-plex,~7000,11,126–131N = biopsy samples,131C = pooled reference,17,17,Median norm; log2 ratio,Gene,Per study,RefSeq,2018,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",1%,result_PDC000325.xlsx,https://pdc.cancer.gov/pdc/study/PDC000325,"Microscaled proteogenomic analysis of core needle biopsies identified ERBB2 and mTOR signaling suppression in treatment-responsive tumors and revealed candidate resistance mechanisms including false or pseudo-ERBB2 positivity, mucin overexpression, androgen receptor signaling, EGFR signaling, and immune-desert phenotypes","Small pilot cohort with limited statistical power and incomplete clinical annotation; several biopsies were excluded because tumor content was below 50%; phosphoproteome coverage was lower than bulk-tissue CPTAC workflows; metadata tables contained pooled reference channels (CR4/CR5), withdrawn entries, and duplicated aliquot-level annotations requiring filtering before downstream analysis; findings require validation in larger independent cohorts",TMT reporter ion relative quantification,,,,
